Item,SPSS,OWL ID,FY 19 Calibration Status,Bank status fy18,NOTES,N count in 2018,N count in 2017,N count in 2015,FY18 Calibration Status,Bank status FY16,Fix in 2017,SKIP?,a_FY18,b_FY18,c_FY18,a_FY16,se of a,b_FY16,se of b,c_FY16,se of c,FINAL Resolution,Cog Level_NEW
1182,@4737,4737,Include in FY19 calib,FY18_Calibrated&Unused,,1457,1095,674,Include FY18 Calib,Operational FY16,,;,1.190071882,-0.4105332,0.2584163,1.391272642,0,-0.342455691,0,0.2,0,2.NBT.4,PU
1183,@4738,4738,Include in FY19 calib,FY18 Operational ,,742,373,693,Include FY18 Calib,Operational FY16,,;,1.12,-1.9111612,0.2,1.638551605,0,-1.451847897,0,0.2,0,2.MD.10,CU
1184,@4739,4739,Include in FY19 calib,FY18_Calibrated&Unused,,2236,1661,668,Include FY18 Calib,Operational FY16,,;,1.516709941,-0.0357804,0.1636307,1.897540842,0,0.14380985,0,0.19999,0,2.MD.10,PU
1185,@4740,4740,Include in FY19 calib,FY18_Calibrated&Unused,,2559,1899,675,Include FY18 Calib,Operational FY16,,;,0.811707059,0.1311013,0.1700563,1.7311334,0,0.174642875,0,0.2,0,6.SP.2,CU
1186,@4741,4741,Include in FY19 calib,FY18_Calibrated&Unused,,2155,1567,675,Include FY18 Calib,Operational FY16,,;,1.347395588,0.6846622,0.1873063,2.901569637,0,0.664744278,0,0.20001,0,2.MD.3,PU
1187,@4742,4742,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",125,125,,Include FY18 Calib,Piloting FY16,,;,1.12,0.4280922,0.2,0,0,0,0,0,0,3.MD.2,PU
1188,@4743,4743,Include in FY19 calib,FY18_Calibrated&Unused,,218,221,696,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,-0.3973769,0.2,0.942553957,0,-0.369203219,0,0.2,0,5.NBT.7,PU
1189,@4744,4744,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",142,142,,Include FY18 Calib,Piloting FY16,,;,1.12,0.0612541,0.2,0,0,0,0,0,0,3.NBT.1,CU
1190,@4745,4745,Include in FY19 calib,FY18_Calibrated&Unused,,208,212,677,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.1715871,0.2,1.118339473,0,0.222932116,0,0.20001,0,3.OA.9,ST
1191,@4746,4746,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",98,98,,Include FY18 Calib,Piloting FY16,,;,1.12,0.2316492,0.2,0,0,0,0,0,0,4.NBT.2,PU
